scenario,model,split,evaluation_level,subset,n_samples,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
cross_mdvr_kcl_to_uams,logreg,val,file,all,24,0.5,0.4375,0.25,0.25,0.25,0.53125,10,6,6,2
cross_mdvr_kcl_to_uams,logreg,val,file,uams,24,0.5,0.4375,0.25,0.25,0.25,0.53125,10,6,6,2
cross_mdvr_kcl_to_uams,logreg,val,patient,all,12,0.5,0.4375,0.25,0.25,0.25,0.53125,5,3,3,1
cross_mdvr_kcl_to_uams,logreg,val,patient,uams,12,0.5,0.4375,0.25,0.25,0.25,0.53125,5,3,3,1
cross_mdvr_kcl_to_uams,logreg,test,file,all,26,0.5384615384615384,0.475,0.3333333333333333,0.2,0.25,0.6000000000000001,12,4,8,2
cross_mdvr_kcl_to_uams,logreg,test,file,uams,26,0.5384615384615384,0.475,0.3333333333333333,0.2,0.25,0.6000000000000001,12,4,8,2
cross_mdvr_kcl_to_uams,logreg,test,patient,all,13,0.5384615384615384,0.475,0.3333333333333333,0.2,0.25,0.6000000000000001,6,2,4,1
cross_mdvr_kcl_to_uams,logreg,test,patient,uams,13,0.5384615384615384,0.475,0.3333333333333333,0.2,0.25,0.6000000000000001,6,2,4,1
cross_mdvr_kcl_to_uams,svm,val,file,all,24,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5,0,16,0,8
cross_mdvr_kcl_to_uams,svm,val,file,uams,24,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5,0,16,0,8
cross_mdvr_kcl_to_uams,svm,val,patient,all,12,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5,0,8,0,4
cross_mdvr_kcl_to_uams,svm,val,patient,uams,12,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,0.5,0,8,0,4
cross_mdvr_kcl_to_uams,svm,test,file,all,26,0.38461538461538464,0.5,0.38461538461538464,1.0,0.5555555555555556,0.5,0,16,0,10
cross_mdvr_kcl_to_uams,svm,test,file,uams,26,0.38461538461538464,0.5,0.38461538461538464,1.0,0.5555555555555556,0.5,0,16,0,10
cross_mdvr_kcl_to_uams,svm,test,patient,all,13,0.38461538461538464,0.5,0.38461538461538464,1.0,0.5555555555555556,0.5,0,8,0,5
cross_mdvr_kcl_to_uams,svm,test,patient,uams,13,0.38461538461538464,0.5,0.38461538461538464,1.0,0.5555555555555556,0.5,0,8,0,5
cross_mdvr_kcl_to_uams,random_forest,val,file,all,24,0.4166666666666667,0.5625,0.36363636363636365,1.0,0.5333333333333333,0.625,2,14,0,8
cross_mdvr_kcl_to_uams,random_forest,val,file,uams,24,0.4166666666666667,0.5625,0.36363636363636365,1.0,0.5333333333333333,0.625,2,14,0,8
cross_mdvr_kcl_to_uams,random_forest,val,patient,all,12,0.4166666666666667,0.5625,0.36363636363636365,1.0,0.5333333333333333,0.625,1,7,0,4
cross_mdvr_kcl_to_uams,random_forest,val,patient,uams,12,0.4166666666666667,0.5625,0.36363636363636365,1.0,0.5333333333333333,0.625,1,7,0,4
cross_mdvr_kcl_to_uams,random_forest,test,file,all,26,0.46153846153846156,0.5625,0.4166666666666667,1.0,0.5882352941176471,0.3125,2,14,0,10
cross_mdvr_kcl_to_uams,random_forest,test,file,uams,26,0.46153846153846156,0.5625,0.4166666666666667,1.0,0.5882352941176471,0.3125,2,14,0,10
cross_mdvr_kcl_to_uams,random_forest,test,patient,all,13,0.46153846153846156,0.5625,0.4166666666666667,1.0,0.5882352941176471,0.3125,1,7,0,5
cross_mdvr_kcl_to_uams,random_forest,test,patient,uams,13,0.46153846153846156,0.5625,0.4166666666666667,1.0,0.5882352941176471,0.3125,1,7,0,5
